id,name,brand_name,price,discount_rate,rating_average,review_count,quantity_sold,sales_status
276380779,Combo 10 Mặt Nạ Tăng Sinh Collagen Cấp Tốc Dr.WonJin Instant Repair Triple Peptide Wrinkle Solution Mask 30g x10,Wonjin Effect,298500,25,5.0,1,25,Slow
276181171,COMBO 10 MẶT NẠ DƯỠNG TRẮNG BNBG GLUTATHIONE BRIGHTENING SKINBOOSTER MASK 30MLX10,BNBG,250000,40,0.0,0,13,Slow
276177587,Combo 2 Kem Chống Nắng Dưỡng Trắng Nâng Tone Da Cell Fusion C Brightening Tone Up Sunscreen 100 SPF50+/ PA ++++ 35ml,Cell Fusion C,338500,57,5.0,4,40,Slow
276022717,Sữa rửa mặt cho nam Oxy sạch dịu nhẹ - kiềm dầu dạng kem Oxy Oil Acne Wash 100g,OXY,78500,19,5.0,10,62,Slow
275970385,Kem chống nắng Bí đao Cocoon 50ml dạng sữa - sữa chống nắng,The Cocoon Original Vietnam,366000,15,5.0,4,85,Slow
275969763,Dung dịch chấm mụn bí đao Cocoon 5ml,The Cocoon Original Vietnam,104000,15,5.0,2,78,Slow
275798180,Nước tẩy trang dưỡng ẩm và làm sáng da hatomugi 500ml/chai,Reihaku Hatomugi,119000,46,5.0,1,27,Slow
275614076,Dung dịch tẩy tế bào chết và tái tạo da Emmié All Target Skin Renewing Solution Pionin + 12% AHA/BHA/PHA (120ml) - Hàng chính hãng,Emmié by Happy Skin,230000,36,5.0,3,16,Slow
274077506,Kem Dưỡng Olay Luminous Sáng Da Mờ Thâm Nám Ban Đêm 50g,Olay,193500,28,4.3,7,396,Slow
274048515,Dung dịch dưỡng trắng cao cấp - cải thiện thâm nám - tàn nhang Hada Labo Shirojyun Premium Whitening Lotion 170ml,Hada Labo,230000,35,5.0,3,69,Slow
273815091,Serum LOreal Giảm Bọng Mắt & Làm Đầy Rãnh Nhăn 20ml Revitalift 2.5% Hyaluronic Acid + Caffeine Eye Serum,L'ORÉAL,305000,0,0.0,0,9,Slow
260844985,Kem Làm Mờ Sẹo Thâm - Sẹo Rỗ - Sẹo Lõm Scar Esthetique của Rejuvaskin - thương hiệu hỗ trợ trị sẹo Hoa Kỳ ,Rejuvaskin,318000,24,4.6,1582,5232,Hot
248684066,Kem chống nắng cho da dầu mụn Acnes Blemish Control Sunscreen 50g,Acnes,124500,21,4.7,12,4777,Hot
248684056,Giấy thấm dầu trà xanh Acnes Oil Remover Paper Green Tea 100 tờ,Acnes,32000,22,4.7,10,6956,Hot
200731933,Combo 3 Miếng Dán Giảm Mụn Mayancare 20 Miếng (0.8cm),Mayan,82000,22,5.0,15,184,Slow
174071718,Sữa rửa mặt Hada Labo cho da dầu mụn - da nhạy cảm Hada Labo Acne Care Calming Cleanser 80g,Hada Labo,82000,20,4.6,52,45738,Hot
135545810,Kem Dưỡng Da Ban Ngày OLAY Luminous Trắng Da Mờ Thâm Nám SPF15+ 50g,Olay,205000,24,4.3,8,696,Hot
120533397,Kem Dưỡng Mềm Da Nivea Soft Crème (200 Ml) - 89050,Nivea,201000,11,0.0,0,108,Slow
117147637,Sữa rửa mặt Simple giúp cấp ẩm - da trông khỏe và mịn màng - cho da khô nhạy cảm 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [MỚI],SIMPLE,135000,4,4.7,228,8910,Hot
85306901,Combo 10 Mặt Nạ BNBG Hydrating Vita Genic Jelly Mask Dưỡng Ẩm Da Đa Tầng 30mlx10,BNBG,170000,42,5.0,6,70,Slow
